X,Y,Label,b1_da_nang,b2_da_nang,b3_da_nang,b4_da_nang,b5_da_nang,b6_da_nang,b7_da_nang
842995.7,1774383,aquaculture,0.011695,0.01989,0.052698,0.034327,0.093728,0.023713,0.016865
846834.6,1773671,aquaculture,0.023877,0.03606,0.070737,0.05751,0.080253,0.05916,0.0387
835928.6,1766168,aquaculture,0.021059,0.026023,0.051776,0.037971,0.084653,0.058252,0.044516
842710.9,1771608,aquaculture,0.017167,0.026793,0.060672,0.04057,0.18555,0.088173,0.043842
847574.5,1773660,aquaculture,0.03353,0.04926,0.090317,0.083718,0.105085,0.123015,0.108055
844725.2,1769853,aquaculture,0.03804,0.046015,0.074038,0.061442,0.161378,0.09326,0.0519
832103.9,1778036,aquaculture,0.036638,0.042357,0.07181,0.058033,0.1333,0.10272,0.070105
837473.4,1771411,aquaculture,0.025198,0.0299,0.055392,0.042949,0.141949,0.07368,0.041258
832192.9,1784529,aquaculture,0.025472,0.033337,0.061951,0.052478,0.070792,0.0508,0.035483
834176.7,1771503,aquaculture,0.032238,0.037435,0.06356,0.04827,0.085312,0.04541,0.025101
831057.2,1783638,aquaculture,0.015518,0.025472,0.058115,0.043237,0.123207,0.07467,0.04541
845806,1777215,aquaculture,0.031468,0.045589,0.081105,0.074588,0.070724,0.075289,0.065677
843158,1778269,aquaculture,0.01318,0.02517,0.057537,0.035923,0.101593,0.05311,0.03562
844613.2,1768997,aquaculture,0.059573,0.06268,0.089396,0.075302,0.108454,0.08842,0.057785
835402.4,1781681,aquaculture,0.032622,0.035702,0.052725,0.04233,0.066035,0.03408,0.02352
843102.3,1780726,aquaculture,0.05454,0.060397,0.08358,0.06884,0.122768,0.110915,0.081683
845024.3,1777367,aquaculture,0.03056,0.040653,0.070847,0.05355,0.050415,0.050305,0.039828
850094.3,1768771,aquaculture,0.031082,0.046964,0.095213,0.092421,0.173134,0.120182,0.076128
844078.9,1768524,aquaculture,0.036775,0.047087,0.076567,0.060865,0.147517,0.096147,0.054677
842464.1,1771551,aquaculture,0.020743,0.026023,0.050525,0.031193,0.089768,0.039663,0.022558
845042.9,1769278,aquaculture,0.024276,0.031839,0.062268,0.045974,0.14793,0.073075,0.036349
844753.9,1767508,aquaculture,0.035029,0.040804,0.061332,0.047761,0.058858,0.03771,0.023877
850305.6,1786442,aquaculture,0.032622,0.0409,0.06642,0.062501,0.114174,0.089644,0.06026
845339.8,1777276,aquaculture,0.024221,0.037985,0.067864,0.057221,0.089314,0.060659,0.042481
845181.6,1776643,aquaculture,0.011695,0.026023,0.055695,0.041918,0.055282,0.039305,0.02605
844720,1769852,aquaculture,0.03804,0.046015,0.074038,0.061442,0.161378,0.09326,0.0519
850386.5,1768778,aquaculture,0.017484,0.030931,0.064399,0.048256,0.121874,0.096299,0.049287
830615.4,1784203,aquaculture,0.017003,0.025885,0.056493,0.039223,0.071631,0.046166,0.026971
845603.3,1774579,aquaculture,0.017993,0.035675,0.072883,0.058693,0.08017,0.060562,0.038645
847219.8,1771375,aquaculture,0.054512,0.07038,0.104535,0.11537,0.181067,0.171277,0.109787
843093.1,1770345,aquaculture,0.021458,0.025802,0.04662,0.032732,0.14793,0.07126,0.037297
835248.8,1787095,aquaculture,0.043815,0.05245,0.079427,0.055695,0.091362,0.065403,0.041478
836252.8,1771195,aquaculture,0.018501,0.025761,0.055145,0.035812,0.123675,0.063326,0.040433
846835.6,1771606,aquaculture,0.025156,0.033008,0.063533,0.055159,0.076224,0.072676,0.046056
845853.9,1771929,aquaculture,0.026957,0.035235,0.062364,0.052395,0.06884,0.048889,0.033379
850518.4,1767812,aquaculture,0.014417,0.026077,0.060562,0.047747,0.117928,0.067547,0.03518
839379.9,1778810,aquaculture,0.032705,0.041615,0.066915,0.055076,0.122121,0.100671,0.070229
845841.4,1776607,aquaculture,0.038178,0.04596,0.079235,0.05564,0.0541,0.035125,0.02671
831079.1,1783643,aquaculture,0.019533,0.030642,0.065348,0.053935,0.11295,0.078933,0.051556
849641.9,1787185,aquaculture,0.056328,0.061704,0.082494,0.082411,0.132777,0.138167,0.103105
844861.5,1769643,aquaculture,0.03716,0.043719,0.067451,0.052189,0.090207,0.04519,0.024799
846716.3,1771668,aquaculture,0.021677,0.028717,0.05982,0.048243,0.08358,0.0497,0.030093
845907.1,1771995,aquaculture,0.02759,0.036706,0.065623,0.055723,0.077214,0.055475,0.033888
847050.3,1788700,aquaculture,0.041986,0.048256,0.065842,0.061429,0.134579,0.113321,0.076128
845593.3,1771490,aquaculture,0.02242,0.031413,0.059256,0.041409,0.094979,0.05795,0.0321
844843.8,1770302,aquaculture,0.047486,0.054884,0.0805,0.062515,0.098444,0.07236,0.043361
831579.2,1782160,aquaculture,0.039236,0.051708,0.090758,0.098238,0.137508,0.087471,0.052106
823985.4,1786434,aquaculture,0.011406,0.021843,0.056589,0.047404,0.085601,0.047954,0.028993
847047.1,1771332,aquaculture,0.025143,0.037573,0.06257,0.055997,0.08424,0.051295,0.033035
842576.6,1771804,aquaculture,0.02781,0.037985,0.080912,0.054485,0.037655,0.018845,0.012273
834384.3,1784810,aquaculture,0.042357,0.044805,0.08061,0.060783,0.132887,0.076485,0.040433
847743.4,1773207,aquaculture,0.015614,0.02429,0.051377,0.037311,0.108866,0.061718,0.034561
826375.5,1785828,aquaculture,0.015078,0.027123,0.062845,0.045823,0.073377,0.04431,0.03012
831564.3,1782190,aquaculture,0.044489,0.056795,0.101249,0.113596,0.138154,0.0915,0.054898
844772.6,1773892,aquaculture,0.017993,0.031413,0.068757,0.059298,0.090125,0.049947,0.02781
845043.8,1767463,aquaculture,0.03804,0.04387,0.06708,0.055117,0.075082,0.051955,0.03727
826189.9,1785973,aquaculture,0.014802,0.024043,0.05949,0.043925,0.12945,0.076402,0.040872
845481.3,1777047,aquaculture,0.015407,0.026916,0.059064,0.037559,0.078272,0.033228,0.018474
829409.8,1768945,aquaculture,0.031358,0.03749,0.061387,0.045437,0.083305,0.055008,0.030395
843219,1774419,aquaculture,0.008395,0.021155,0.065128,0.043127,0.06653,0.039883,0.027563
